Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,English speaking monolingual,Were you raised monolingual?,Bilingual,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ebfbb8351767d75ba735b5,5fc18d478a746025809c8d29,AWAITING REVIEW,Not Applicable,2024-03-09T06:03:50.200000Z,2024-03-09T06:12:21.471000Z,,2024-03-09T06:12:22.200498Z,512.0,C1JQLVOG,1349,I know one other language in addition to English,I was raised with my native language only,native language + one other language,"English, Spanish",40,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ebfbbba3a5ee69b95102ee,6010571dc1152033ac3bc4ca,AWAITING REVIEW,Not Applicable,2024-03-09T06:03:42.756000Z,2024-03-09T06:14:56.538000Z,,2024-03-09T07:26:10.950940Z,674.0,C1JQLVOG,910,I only know English,I was raised with my native language only,none just my native langauge,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ebfbd00439c1d89f5aa7af,6051f9a32647a5a8f1dc723a,AWAITING REVIEW,Not Applicable,2024-03-09T06:04:26.391000Z,2024-03-09T06:12:23.396000Z,,2024-03-09T06:12:23.957183Z,478.0,C1JQLVOG,397,I know one other language in addition to English,I was raised with two or more languages,native language + one other language,English,25,Female,Black,Zimbabwe,Poland,Zimbabwe,English,No,Full-Time
65ebfbea40cb115908f6b8be,5e223c2e62672f51cbc173ca,AWAITING REVIEW,Not Applicable,2024-03-09T06:04:34.038000Z,2024-03-09T06:14:16.605000Z,,2024-03-09T06:14:17.127299Z,583.0,C1JQLVOG,220,I only know English,I was raised with two or more languages,none just my native langauge,English,39,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ebfbebe8a12b0752b4037e,613af57c78c173e198aa0b80,AWAITING REVIEW,Not Applicable,2024-03-09T06:04:32.032000Z,2024-03-09T06:08:46.077000Z,,2024-03-09T06:08:46.513363Z,255.0,C1JQLVOG,952,I only know English,I was raised with my native language only,none just my native langauge,English,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ebfbfa466760163e0143ff,5d53cfc5d388750001a0e012,AWAITING REVIEW,Not Applicable,2024-03-09T06:04:53.501000Z,2024-03-09T06:09:10.380000Z,,2024-03-09T06:09:10.798041Z,257.0,C1JQLVOG,1009,I only know English,I was raised with two or more languages,none just my native langauge,English,34,Female,Black,United States,United Kingdom,United Kingdom,English,Yes,Full-Time
65ebfc2bf04b0871b3847a04,59bd33823c45a10001ccca27,AWAITING REVIEW,Not Applicable,2024-03-09T06:05:35.066000Z,2024-03-09T06:10:37.251000Z,,2024-03-09T06:10:37.827474Z,303.0,C1JQLVOG,926,I only know English,I was raised with my native language only,none just my native langauge,English,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65ebfc3dda352137ad4fdb7c,5e98ce846515431026d195c6,AWAITING REVIEW,Not Applicable,2024-03-09T06:06:02.377000Z,2024-03-09T06:13:57.897000Z,,2024-03-09T06:13:58.355059Z,476.0,C1JQLVOG,1680,I only know English,I was raised with my native language only,none just my native langauge,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ebfc6ad17e592bbc5aa720,56db73e97dcddf000cd564d4,AWAITING REVIEW,Not Applicable,2024-03-09T06:06:44.882000Z,2024-03-09T06:11:47.339000Z,,2024-03-09T06:11:48.098575Z,303.0,C1JQLVOG,639,I only know English,I was raised with my native language only,none just my native langauge,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65ebfc7d0c2e3c608b937e82,5847e40d6cca010001fe2d64,AWAITING REVIEW,Not Applicable,2024-03-09T06:07:01.780000Z,2024-03-09T06:12:34.409000Z,,2024-03-09T06:12:34.962806Z,333.0,C1JQLVOG,2337,I only know English,I was raised with my native language only,none just my native langauge,English,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ebfc81d079917c54212025,65aed3b01410b53e6cb35ca3,AWAITING REVIEW,Not Applicable,2024-03-09T06:07:00.304000Z,2024-03-09T06:17:28.081000Z,,2024-03-09T06:17:28.600585Z,628.0,C1JQLVOG,58,I only know English,I was raised with my native language only,none just my native langauge,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ebfcc4f59dc5a09bd39f07,55a6200efdf99b427bda5f58,AWAITING REVIEW,Not Applicable,2024-03-09T06:08:08.706000Z,2024-03-09T06:14:47.923000Z,,2024-03-09T06:14:48.561200Z,400.0,C1JQLVOG,2542,I only know English,I was raised with my native language only,none just my native langauge,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65ebfcd30f18d988b7326188,60e40f641256c86cb4c539a9,AWAITING REVIEW,Not Applicable,2024-03-09T06:08:23.282000Z,2024-03-09T06:14:50.270000Z,,2024-03-09T07:26:10.809207Z,387.0,C1JQLVOG,349,I only know English,I was raised with my native language only,none just my native langauge,English,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ebfcd4a6328372037a507f,65024cab90e6c6c5d02c36fc,AWAITING REVIEW,Not Applicable,2024-03-09T06:08:25.337000Z,2024-03-09T06:16:16.236000Z,,2024-03-09T06:16:16.658996Z,471.0,C1JQLVOG,351,I only know English,I was raised with my native language only,none just my native langauge,English,29,Female,Black,United States,United States,United States,English,Yes,Part-Time
65ebfcf3741c29c6458967b5,6235d96c087939dba5586d97,AWAITING REVIEW,Not Applicable,2024-03-09T06:09:10.637000Z,2024-03-09T06:14:44.304000Z,,2024-03-09T06:14:45.088558Z,334.0,C1JQLVOG,1087,I only know English,I was raised with my native language only,none just my native langauge,English,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
